,price,year,km,engine_size,horse_power
0,1119900,2013,195000,2967,300
1,1175000,2012,83500,4501,426
2,1239000,2021,0,3501,351
4,1453000,1992,43000,5735,223
5,101000,2004,236000,1401,101
7,105000,2015,205000,1461,90
8,113000,2000,125000,1796,120
9,114750,2011,196635,1499,109
10,115000,2006,433300,1910,150
11,116750,2008,237000,1560,109
12,117500,2004,233000,1801,126
13,117950,2017,125000,1560,93
15,135000,2017,59000,1461,90
17,147500,2015,158500,1396,90
18,148000,2015,158000,1461,90
19,156500,2017,35000,1200,76
20,161000,2013,157000,1560,117
21,165000,1996,210000,3791,170
22,167000,2005,117000,2001,126
25,180000,2015,155000,1499,120
26,195000,2013,74800,1197,105
27,197900,2006,280000,2967,233
28,2850000,2011,9700,5001,551
30,212750,2013,58000,999,84
31,220000,2011,350000,1995,184
32,255000,2018,65000,1598,115
33,26500,1994,142000,1201,51
34,280000,2011,106000,1201,226
35,29900,1998,260000,1468,88
36,3900000,2012,19000,4001,551
37,3950000,2016,11105,5001,608
38,33000,2001,270000,796,51
39,33000,2000,200000,1499,77
40,368900,2017,62000,1461,109
41,435750,2016,49000,1998,211
42,47500,1998,250000,1401,101
43,559000,2015,79750,1801,226
44,60000,2011,114000,1498,94
46,63500,2008,170000,1587,106
47,65000,2011,152000,1248,75
48,67000,1999,309000,1597,95
49,75900,2001,55000,1401,76
50,790000,1996,128000,4595,280
51,80000,2000,188000,1398,97
52,82750,2006,167000,1328,93
54,9500000,2017,10206,6592,551
57,990000,1986,135000,6001,276
58,1175000,2014,92500,2501,251
59,1219000,2020,0,3001,301
60,1299000,2017,52500,1801,276
62,103500,2008,198000,1495,103
64,116000,2016,139000,1401,51
65,117900,2012,204500,1598,124
66,124750,2013,150000,1248,95
67,129750,2015,110000,1461,90
68,135000,2011,98000,1595,125
69,143900,2012,148500,1201,76
70,151500,2012,167000,1560,114
71,170000,2015,158000,1582,136
72,173750,2013,85000,1598,132
73,183000,2019,30000,1242,90
75,2475000,2012,85000,5501,551
76,2970000,2012,33000,5501,551
77,204750,2016,131000,1395,125
78,207000,2020,0,1200,101
79,209900,2007,295000,2987,218
80,225000,2014,168000,1560,115
81,228900,2020,0,1201,101
82,23000,1994,200000,1499,68
84,272900,2015,102000,1496,116
85,285000,2017,146000,1598,120
86,29900,1999,205000,1998,83
87,3000000,2015,6045,5501,576
88,313900,2017,42000,1598,120
89,318000,2013,92000,1598,170
90,32000,2005,284000,1405,70
91,34000,1998,208000,1396,75
92,36250,1996,279000,1498,90
93,370000,2015,94000,1801,201
94,386900,2018,96000,1461,109
95,4100000,2012,1009,6592,551
96,419000,2015,84000,1801,226
97,43500,1997,284000,1948,139
98,45000,1999,350000,1581,83
99,48500,2009,250000,1597,112
100,48500,2009,124000,1401,101
102,49900,2001,156000,1489,88
103,65000,1995,125000,1801,126
104,70000,2006,222000,1201,51
105,835000,2019,20450,2001,201
106,875000,2016,38000,1968,190
107,89000,2017,480000,1248,95
108,9850000,2021,0,3902,720
109,96000,2007,95000,1240,80
110,96750,2004,260000,1994,225
112,1145000,2020,0,3501,301
113,1550000,2017,30000,2987,275
114,103000,2003,100000,2495,196
115,109000,2010,170000,1596,100
117,113000,2008,230000,1499,109
118,126000,2011,139000,1598,124
119,13500000,2020,0,6496,800
120,132000,2007,153000,1498,95
122,138000,2017,80000,898,90
123,145000,2018,26000,1560,100
125,209900,2014,190000,1401,101
126,213750,2017,150000,1461,110
127,215000,2016,90000,898,90
128,22850,1993,195000,1289,57
129,227900,2017,34750,1401,101
130,247500,2017,60280,1598,115
132,279750,2017,33000,1395,125
133,28500,1991,52500,1499,68
134,33000,1999,130000,796,51
135,34000,1993,189000,1397,72
136,35000,1998,27000,1298,69
137,37000,1996,75000,1581,83
138,38000,1996,230000,1985,185
139,39999,1997,251000,1589,111
141,46000,1991,286000,1801,76
142,52000,2009,203000,1597,112
143,55000,1996,350000,1998,115
144,57500,2011,156000,1248,75
145,58000,2000,210000,1970,155
146,659900,2012,205000,2967,245
147,69900,1999,365000,1598,110
148,70000,2010,245000,1401,101
149,70000,2000,64000,1597,114
150,81500,2008,201000,1248,75
152,85000,1999,250000,3518,252
153,87500,2006,250000,1401,101
154,89000,1995,298950,1801,126
155,92500,2014,140000,1201,76
156,99750,2008,180000,1401,101
157,1119900,2013,195000,2967,300
159,122500,2011,325000,1560,111
160,124000,2006,215000,1598,115
162,125750,2014,222000,1598,105
164,135000,2017,59000,1461,90
166,147500,2015,158500,1396,90
167,156500,2017,35000,1200,76
169,187000,2017,28000,1598,110
170,193900,2017,49500,1461,110
171,220000,2011,350000,1995,184
172,252000,2015,127458,1560,115
173,26500,1994,142000,1201,51
174,280000,2011,106000,1201,226
175,30999,1994,150000,1581,83
176,33000,2000,200000,1499,77
177,368900,2017,62000,1461,109
178,53000,1997,400000,1396,90
179,65000,2000,188000,1870,98
180,665900,2020,38000,1801,176
181,70000,2001,250000,1596,100
182,81250,2011,130000,1248,78
183,82750,2006,167000,1328,93
184,88500,2005,250000,1401,101
186,122000,2013,56000,1248,85
187,126000,2011,200000,1598,105
188,126500,2013,161000,1461,90
189,135000,2017,59000,1461,90
190,142000,2020,3500,898,90
191,152000,2016,90000,1201,76
193,185750,2016,120000,1499,120
194,205000,2015,110000,1598,125
195,22500,1994,220000,1581,80
196,220000,2011,350000,1995,184
197,26500,1994,142000,1201,51
198,305000,2018,101000,1401,101
199,368900,2017,62000,1461,109
200,388500,2018,59000,1598,120
202,98750,2015,210000,1201,76
203,102500,2012,193000,1368,77
204,117900,2012,204500,1598,124
205,118000,2011,102000,1388,96
206,124500,2017,123000,1560,93
207,129750,2015,110000,1461,90
208,143900,2012,148500,1201,76
209,169750,2020,3200,1200,76
210,172500,2014,119000,1401,101
212,25000,1993,70000,1581,83
214,285000,2017,146000,1598,120
215,318000,2013,92000,1598,170
217,386900,2018,96000,1461,109
218,56750,2005,265000,1401,51
219,70900,2005,209000,1201,76
220,98000,2005,261000,1401,101
221,109500,2008,190000,1595,102
223,122750,2016,110000,1461,90
224,145000,2010,227000,1390,122
225,145500,2011,263000,1598,105
226,146500,2013,248000,1461,90
227,150000,2017,110000,1248,95
228,152500,2015,145000,1596,105
229,226750,2018,68000,1401,101
230,249000,2015,137000,1598,110
231,274900,2010,174000,1801,176
232,333900,2015,106000,1401,101
233,44999,1997,235487,1998,133
235,53000,1998,270000,1998,115
236,61000,1997,151000,1581,83
239,103900,2011,150000,1598,124
240,104000,2006,193800,1590,110
241,124000,2013,133000,1598,115
242,133000,2017,130000,1248,95
243,134750,2008,220000,1995,143
244,140900,2016,32000,1461,75
246,155000,2013,140000,1560,117
247,215000,2020,6750,1200,76
248,217500,2016,160000,1598,110
249,224900,2017,71142,1401,126
250,225500,2016,18000,1598,132
251,259000,2019,10000,1598,115
252,301500,2016,92470,1598,110
254,42000,1994,132000,1581,83
255,66000,2005,330000,1401,76
258,118000,2012,157000,1388,96
260,167000,2018,36000,1560,100
261,174500,2017,122500,1461,90
263,188000,2015,42000,1598,132
264,295000,2017,60786,1598,110
265,315000,2016,126000,1598,120
266,36000,1993,290000,1581,75
267,37500,1995,200000,1581,83
268,378900,2015,53000,1598,136
269,380000,2015,118000,1801,176
270,465000,2015,138200,1801,176
271,58750,1998,230000,1590,116
272,79000,2009,100500,1399,97
273,88500,2011,196500,1991,150
274,95000,2010,155900,1461,70
276,115000,2000,261000,1781,150
277,116500,2013,131000,1401,76
278,127000,2016,142000,1401,51
280,152000,2020,22000,1368,95
281,155000,2010,58000,1201,76
282,165500,2011,221197,1956,190
283,188250,2016,159000,1201,76
284,198000,2015,42000,1197,110
285,211800,2015,88000,1200,101
286,255000,2012,118500,1401,151
287,285000,2018,37000,1598,115
289,375000,2014,94250,1401,151
290,75500,2004,280000,1598,115
291,76000,2006,245000,1560,111
292,93750,2009,252145,1560,110
294,115000,2001,320000,2979,231
295,119500,2013,166000,1461,90
296,132000,2012,160000,1595,125
297,157000,2008,248000,1801,126
298,161750,2019,69000,1201,76
299,175000,2013,30000,1364,90
300,182000,2020,20604,1499,102
301,218000,2016,99000,1395,150
302,252000,2015,90000,1201,151
305,365000,2021,600,1200,101
306,46500,2001,270000,1242,75
307,65000,2005,122000,1390,75
308,85000,2011,227000,1493,110
309,88750,2011,86000,1398,100
310,92500,2008,172000,1598,115
311,108750,2015,321000,1461,90
313,116500,2012,155000,1201,76
314,120900,2012,158000,1560,115
315,132900,2013,117000,1401,101
316,155000,2019,59500,1499,100
317,156750,2017,33000,1398,90
318,158000,2021,0,1368,95
319,159750,2016,160000,1364,90
320,160000,2011,277000,1598,105
321,185000,2002,475000,4966,307
322,191800,2013,99000,1390,160
323,252000,2016,83004,1598,125
324,252500,2015,298599,1598,120
325,269000,2004,239000,2979,231
326,305000,2020,8000,1401,101
327,37000,1993,100000,1581,83
328,90000,2005,114000,1341,82
329,108750,2013,172000,1390,85
330,117950,2017,125000,1560,93
332,123900,2012,226000,1598,105
333,148000,2015,158000,1461,90
334,156850,2015,190000,1560,115
335,162750,2015,168000,1364,90
336,169000,2018,48000,1461,90
337,174000,2010,312000,1968,143
338,180000,2017,110000,1598,115
